Criteria/Alternatives,Criteria,Armazones,Aklim,ORM,Ventarrones,Macon
Final Status,-,Selected,,Reference North,Reference South,
Hemisphere,-,S,N,N,S,S
Location,-,Chile,Morroco,Canarias (Spain),Chile,Argentina
Altitude (AMSL),max,3064,2350,2346,2837,4653
Total seeing ε (′′),min,0.64,1.00,0.80,0.91,0.87
Isoplanatic angle θ 0 (′′),max,2.04,1.29,1.93,1.96,1.37
Coherence time τ 0 (ms) ,max,4.6,3.53,5.58,4.90,3.37
Optical étendue G 0 (m 2 ms arcsec 2 ) ,min,,0.05,0.38,0.26,0.10
Free-atmosphere seeing (′′) ε FA         ,max,,0.52,0.31,0.55,0.66
Boundary-layer seeing (′′) ε BL          ,,,0.77,0.65,0.60,0.51
Cloud: clear fraction (%)                ,max,89,76,84,85,75
Night temperature at 2 m (°C)          ,min,7.5,12.5,7.3,10.9,-0.2
Night relative humidity at 2 m (%)     ,min,21,32,21,14,20
Night wind speed at 10 m (m=s)       ,min,7.2*,6.2,8.2,5.9,11.3
Night pressure at 2 m,min,,767.0,772.4,727.0,581.8
,,,,,,
,,,,,,
* at 7m,,,,,,
